name,description,ac,hp_formula,hp_avg,speed,str,dex,con,int,wis,cha,challenge,xp,size,mob_type,alignment,melee_mod,ranged_mod,attack1,attack1_range,attack1_dmg,attack2,attack2_range,attack2_dmg,attack3,attack3_range,attack3_dmg,source,notes,languages
Adult Green Dragon,"A cunning and treacherous predator, an adult green dragon delights in corrupting and controlling sentient beings, slowly eroding their will to serve its evil whims. It dwells in ancient forests and marshes, poisoning the land with its presence.",19,19d12+114,238,"40 ft., fly 80 ft., swim 40 ft.",19,12,21,18,15,17,15,13000,Large,dragon,lawful evil,+9,,Bite,10 ft.,2d10+4 piercing plus 4d6 poison,Claw,5 ft.,2d6+4 slashing,Tail,15 ft.,2d8+4 bludgeoning,,,"Common, Draconic"
Adult Red Dragon,"The most covetous of all true dragons, an adult red dragon is a terrifying force of destruction, obsessed with amassing treasure and asserting its dominance through fear and fire. It makes its lair in scorching mountains and volcanoes.",19,19d12+133,256,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,17,18000,Large,dragon,chaotic evil,+13,,Bite,10 ft.,2d10+8 piercing plus 4d6 fire,Claw,5 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Adult Silver Dragon,"A benevolent and majestic creature, an adult silver dragon cherishes humanoids and often takes on a humanoid guise to observe and aid them, preferring to use its wisdom and strength to protect the innocent. It dwells in cold mountains and cloud-shrouded peaks.",19,19d12+114,238,"40 ft., fly 80 ft.",23,10,21,14,11,19,16,15000,Large,dragon,lawful good,+11,,Bite,10 ft.,2d10+6 piercing plus 4d6 cold,Claw,5 ft.,2d6+6 slashing,Tail,15 ft.,2d8+6 bludgeoning,,,"Common, Draconic"
Adult White Dragon,"Brutish and territorial, an adult white dragon is the least intelligent of the true dragons, driven by primeval urges for food and dominion over frozen wastes. It lives in icy caves and glacial crevasses, hoarding treasures from its kills.",18,16d12+80,184,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",22,10,20,8,12,12,13,10000,Large,dragon,chaotic evil,+11,,Bite,10 ft.,2d10+6 piercing plus 4d6 cold,Claw,5 ft.,2d6+6 slashing,Tail,15 ft.,2d8+6 bludgeoning,,,"Common, Draconic"
Air Elemental,"A swirling vortex of air, an air elemental is a living force of nature that can manifest as a powerful gust or a suffocating whirlwind, sweeping through battlefields and carrying away foes. It is often summoned from the Elemental Plane of Air.",15,8d10+24,68,"0 ft., fly 90 ft. (hover)",14,20,16,6,10,6,5,1800,Large,elemental,neutral,+8,,Slam,5 ft.,2d8+5 bludgeoning,,,,,,,,,Auran
Allosaurus,"A ferocious bipedal predator, the allosaurus is a territorial hunter that preys on large herbivores, using its powerful jaws and razor claws to tear apart its victims. It is a common sight in primeval jungles and lost worlds.",13,6d10+18,51,50 ft.,19,13,17,2,12,5,2,450,Large,beast,unaligned,+6,,Bite,5 ft.,2d10+4 piercing,Claw,5 ft.,1d6+4 slashing,,,,,,
Ancient Black Dragon,"A malevolent and ancient terror, an ancient black dragon is a master of ambush and deception, dwelling in vast swamps and festering fens, where it plots the ruin of nearby settlements. Its corrosive breath can melt steel and flesh alike.",22,26d12+208,377,"40 ft., fly 80 ft., swim 40 ft.",27,14,26,16,15,19,21,33000,Gargantuan,dragon,chaotic evil,+15,,Bite,15 ft.,4d10+8 piercing plus 4d8 acid,Claw,10 ft.,4d6+8 slashing,Tail,20 ft.,4d8+8 bludgeoning,,,"Common, Draconic"
Ancient Blue Dragon,"An ancient blue dragon is a vain and territorial predator that dominates deserts and arid lands, using its lightning breath to devastate any who dare intrude upon its domain. It often buries its hoards deep beneath the sands.",22,27d12+216,392,"40 ft., burrow 30 ft., fly 80 ft.",29,10,27,18,17,23,23,50000,Gargantuan,dragon,lawful evil,+16,,Bite,15 ft.,4d10+9 piercing plus 4d8 lightning,Claw,10 ft.,4d6+9 slashing,Tail,20 ft.,4d8+9 bludgeoning,,,"Common, Draconic"
Ancient Brass Dragon,"A surprisingly jovial and conversational creature, an ancient brass dragon makes its home in vast deserts, eager to share stories and knowledge with travelers, but quick to defend its hoarded treasures. It can exhale a fiery breath or a sleep-inducing gas.",20,23d12+161,310,"40 ft., burrow 40 ft., fly 80 ft.",27,12,25,16,15,19,20,25000,Gargantuan,dragon,chaotic good,+14,,Bite,15 ft.,4d10+8 piercing plus 4d8 fire,Claw,10 ft.,4d6+8 slashing,Tail,20 ft.,4d8+8 bludgeoning,,,"Common, Draconic"
Ancient Bronze Dragon,"A noble and vigilant protector, an ancient bronze dragon often makes its lair near coastlines and large bodies of water, defending them from evil and often aiding ships in distress. It can breathe lightning or a repelling gas.",22,24d12+192,348,"40 ft., fly 80 ft., swim 60 ft.",27,12,27,16,15,19,22,41000,Gargantuan,dragon,lawful good,+15,,Bite,15 ft.,4d10+8 piercing plus 4d8 lightning,Claw,10 ft.,4d6+8 slashing,Tail,20 ft.,4d8+8 bludgeoning,,,"Common, Draconic"
Ancient Copper Dragon,"Ancient copper dragons are jovial and art-loving, preferring to live in dry, rocky regions and mountain plateaus where they can collect treasure and tell stories to their hoard. They are infamous for their trickery, riddles, and pranks, especially on those who dare to enter their lairs.",21,22d20+154,385,"40 ft., burrow 30 ft., fly 80 ft.",27,12,25,20,17,19,21,33000,Gargantuan,dragon,chaotic good,+15,,Bite,15 ft.,4d8+8 piercing,Claw,10 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Ancient Gold Dragon,"Ancient gold dragons are wise and regal, viewing themselves as protectors of justice and the natural order. They often take on humanoid guises to observe lesser creatures and intervene when great evils threaten the world.",22,28d20+252,546,"40 ft., fly 80 ft., swim 40 ft.",30,14,29,22,19,28,24,62000,Gargantuan,dragon,lawful good,+17,,Bite,15 ft.,4d8+10 piercing,Claw,10 ft.,2d6+10 slashing,Tail,15 ft.,2d8+10 bludgeoning,,,"Common, Draconic"
Ancient Green Dragon,"Ancient green dragons are cunning and cruel masters of manipulation, preferring to dwell in ancient forests and marshes where they weave intricate webs of deceit to dominate lesser creatures. They savor corrupting mortals and collecting sentient creatures as prized additions to their hoards.",21,24d20+192,444,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,21,22,41000,Gargantuan,dragon,lawful evil,+15,,Bite,15 ft.,4d8+8 piercing,Claw,10 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Ancient Red Dragon,"Ancient red dragons are avaricious and terrifying tyrants, obsessed with increasing their vast hoards and dominating all who live nearby. They lair in hot, dry places like volcanoes or deserts, where they can watch over their treasures and unleash their fiery wrath.",22,28d20+252,546,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,24,62000,Gargantuan,dragon,chaotic evil,+17,,Bite,15 ft.,4d10+10 piercing,Claw,10 ft.,2d6+10 slashing,Tail,15 ft.,2d8+10 bludgeoning,,,"Common, Draconic"
Ancient Silver Dragon,"Ancient silver dragons are benevolent and honorable, often taking humanoid forms to interact with mortals and learn about their cultures. They typically dwell atop frosty mountains and glaciers, protecting good-aligned creatures and combating evil.",22,27d20+243,526,"40 ft., fly 80 ft.",27,10,29,18,15,23,23,50000,Gargantuan,dragon,lawful good,+15,,Bite,15 ft.,4d8+8 piercing,Claw,10 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Ancient White Dragon,"Ancient white dragons are brutal and territorial predators, driven by primeval urges to hunt, kill, and hoard. They lair in frozen wastes and glacial caves, where their breath weapon can devastate intruders and freeze vast areas.",20,26d20+182,455,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,23,10,13,14,20,25000,Gargantuan,dragon,chaotic evil,+14,,Bite,15 ft.,4d10+8 piercing,Claw,10 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Androsphinx,"Androsphinxes are majestic and powerful guardians, often found protecting sacred sites or ancient secrets. They are known for their riddles, their roar, and their ability to command elemental magic.",17,18d10+90,189,"40 ft., fly 60 ft.",22,10,20,16,16,19,17,18000,Large,monstrosity,lawful good,+11,,Claw,5 ft.,2d8+6 slashing,,,,,,,,,"Common, Sphinx"
Animated Armor,"Animated armors are magical constructs brought to life by powerful enchantments, serving as silent guardians or menacing traps. They clank and creak with uncanny movement, often indistinguishable from unoccupied suits of armor until they attack.",18,2d8+4,13,25 ft.,14,11,13,1,3,1,1,200,Medium,construct,unaligned,+4,,Slam,5 ft.,1d6+2 bludgeoning,,,,,,,,,
Ankheg,"Ankhegs are predatory insectoid monstrosities that burrow beneath the ground, ambushing unsuspecting prey from below. They digest their victims with corrosive acid, which they can also spray as a defensive measure.",14,6d10+18,51,"30 ft., burrow 10 ft.",17,12,17,1,13,6,2,450,Large,monstrosity,unaligned,+5,,Bite,5 ft.,2d6+3 slashing + 1d6 acid,,,,,,,,,
Ankylosaurus,"Ankylosauruses are large, herbivorous dinosaurs known for their armored bodies and powerful club-like tails. They are generally placid but will fiercely defend themselves when threatened.",15,7d12+21,66,30 ft.,19,11,17,2,12,5,3,700,Large,beast,unaligned,+6,,Tail,10 ft.,4d6+4 bludgeoning,,,,,,,,,
Ape,,12,3d8+6,20,30,16,14,14,6,12,7,0.5,100,Medium,Beast,unaligned,5,5,1d6+3,5,bludgeoning,1d6+3,25/50,bludgeoning,,,,GemDMD Sheet,unknown,
Arcanaloth,"Arcanaloths are the masterminds and schemers among the yugoloths, often serving as scribes, lorekeepers, and agents of chaos. They are cunning fiends who trade in souls and secrets, always seeking to gain power and influence.",17,12d8+48,102,"30 ft., fly 30 ft.",10,12,18,20,15,16,12,8400,Medium,fiend,neutral evil,+4,,Claws,5 ft.,1d4+2 slashing,,,,,,,,,"Abyssal, Celestial, Infernal, telepathy 120 ft."
Archmage,"An archmage is a powerful spellcaster, a master of arcane lore and magic, capable of wielding devastating spells. They are typically found in positions of great authority or secluded in their towers pursuing forgotten knowledge.",12,18d8+18,99,30 ft.,10,14,12,18,12,16,12,8400,Medium,humanoid,any alignment,+6,+6,Dagger,5 ft.,1d4 piercing,Dagger,20/60 ft.,1d4 piercing,,,,,,Any six languages
Assassin,"Assassins are deadly killers who specialize in stealth, poison, and swift, lethal strikes against unsuspecting targets. They operate from the shadows, often employed by powerful individuals or organizations to eliminate enemies.",15,16d8+32,104,30 ft.,11,16,14,13,11,10,8,3900,Medium,humanoid,any non-good alignment,+5,+5,Shortsword,5 ft.,1d6+3 piercing,Light Crossbow,80/320 ft.,1d8+3 piercing,,,,,,Common plus two other languages
Awakened shrub,,9,3d6,10,20,3,8,11,10,10,6,0,10,Small,Plant,unaligned,1,,1d4-1,5,slashing,,,,,,,GemDMD Sheet,unknown,
Awakened tree,,13,7d12+14,60,20,19,6,15,10,10,7,2,450,Huge,Plant,unaligned,6,,3d6+4,10,bludgeoning,,,,,,,GemDMD Sheet,unknown,
Axe Beak,,11,3d10+3,20,50,14,12,12,2,10,5,0.25,50,Large,Beast,unaligned,4,,1d8+2,5,slashing,,,,,,,GemDMD Sheet,unknown,
Azer,"Azers are industrious humanoids native to the Elemental Plane of Fire, made of bronze and fire. They are known for their craftsmanship, especially metalwork, and are often enslaved by more powerful elemental beings or efreet.",17,5d8+10,32,30 ft.,17,12,15,12,13,10,2,450,Medium,elemental,lawful neutral,+5,,War Pick,5 ft.,1d8+3 piercing plus 1d8 fire,,,,,,,,,Ignan
Baboon,,12,1d6,4,30,8,14,11,4,12,6,0,10,Small,Beast,unaligned,1,,1d4-1,5,,,,,,,,GemDMD Sheet,unknown,
Badger,,10,1d4+1,4,20,4,11,12,2,12,5,0,10,Tiny,Beast,unaligned,2,,1,5,,,,,,,,GemDMD Sheet,unknown,
Balor,"Balors are the most terrifying and powerful of the demons, towering fiends embodying the chaotic evil of the Abyss. They wield immense destructive power, often leading demonic legions into battle.",19,21d12+147,284,"40 ft., fly 80 ft.",26,15,22,20,16,22,19,22000,Huge,fiend,chaotic evil,+14,,Longsword,10 ft.,3d8+8 slashing plus 3d8 fire,Whip,30 ft.,2d6+8 slashing plus 3d6 fire,,,,,,"Abyssal, telepathy 120 ft."
Bandit,"Bandits are common thugs and criminals who prey on travelers and merchants, often forming small gangs for greater strength. They are generally unorganized, motivated by greed and opportunism.",12,2d8+2,11,30 ft.,11,12,12,10,10,10,0.125,25,Medium,humanoid,any non-lawful alignment,+3,+3,Scimitar,5 ft.,1d6+1 slashing,Light Crossbow,80/320 ft.,1d8+1 piercing,,,,,,Common
Bandit Captain,"A bandit captain is a seasoned leader among criminals, commanding a gang of brigands with a mix of intimidation and charisma. They are more skilled in combat and tactics than their subordinates, often having a bounty on their head.",16,10d8+20,65,30 ft.,15,16,14,14,11,14,2,450,Medium,humanoid,any non-lawful alignment,+5,+5,Scimitar,5 ft.,1d6+3 slashing,Dagger,20/60 ft.,1d4+3 piercing,,,,,,Common plus two other languages
Banshee,"A banshee is the tortured spirit of an evil female elf, cursed to mourn her beauty and lost life. She manifests as a spectral figure, her wails capable of striking terror and death into the hearts of living creatures.",12,10d8,45,"0 ft., fly 40 ft. (hover)",1,14,10,12,11,17,4,1100,Medium,undead,chaotic evil,+4,,Corrupting Touch,5 ft.,3d6+2 necrotic,,,,,,,,,"Common, Elvish"
Barbed Devil,"Barbed devils are common infernal soldiers, known for their spiky hides and cruel dispositions, often serving as enforcers or guards. They delight in tormenting mortals and spreading fear wherever they go.",15,11d8+33,82,30 ft.,16,17,16,12,14,12,5,1800,Medium,fiend,lawful evil,+6,+5,Tail,5 ft.,2d6+3 piercing,Hurl Flame,120 ft.,3d6 fire,,,,,,"Infernal, telepathy 120 ft."
Bat,,12,1d4-1,2,30,2,15,8,2,12,4,0,10,Tiny,Beast,unaligned,0,,1,5,piercing,,,,,,,GemDMD Sheet,unknown,
Beholder,"Beholders are terrifying, xenophobic aberrations that float through the air, their central eye and multiple eyestalks firing deadly magical rays. They are highly intelligent, paranoid, and believe themselves to be the pinnacle of creation.",18,19d10+95,200,"0 ft., fly 20 ft. (hover)",10,14,18,17,15,17,13,10000,Large,aberration,lawful evil,+5,,Bite,5 ft.,2d6+2 piercing,,,,,,,,,"Deep Speech, Undercommon"
Beholder Zombie,"A grotesque, undead orb of eyes, animated by dark magic to serve as a tireless guardian, its flesh rotting and its gaze still deadly. It lacks the terrifying intelligence of a living beholder, reduced to a shambling monstrosity.",15,11d10+44,104,"0 ft., fly 20 ft. (hover)",10,8,18,3,10,5,5,1800,Large,undead,neutral evil,+3,+3,Bite,5 ft.,4d6+3 piercing,Disintegration Ray,120 ft.,10d8 force,Wounding Ray,120 ft.,4d6 necrotic,,,
Bersrker,,0,,0,,10,10,10,10,10,10,,0,,,,,,,,,,,,,,,GemDMD Sheet,unknown,
Bhir,"A solitary, six-legged predator with a chitinous carapace and glowing eyes, the Bhir hunts by ambushing prey in dense jungles, using its powerful jaws and razor claws to quickly overwhelm its victims.",14,8d10+24,68,"40 ft., climb 20 ft.",18,14,16,4,12,7,3,700,Large,monstrosity,unaligned,+6,,Bite,5 ft.,2d8+4 piercing,Claws,5 ft.,2d6+4 slashing,,,,,,
Black Bear,,11,3d8+6,20,40,15,10,14,2,12,7,0.5,100,Medium,Beast,unaligned,4,,1d6+2,5,piercing,2d4+2,5,slashing,,,,GemDMD Sheet,unknown,
Black Dragon Wyrmling,"A newly hatched, ravenous black dragon, characterized by its acidic breath and cruel intelligence, dwelling in swamps and marshes where it lurks to ambush unsuspecting prey.",17,7d8+14,46,"30 ft., fly 60 ft., swim 30 ft.",15,14,13,10,11,13,2,450,Medium,dragon,chaotic evil,+4,,Bite,5 ft.,1d8+2 piercing,,,,,,,,,Draconic
Black Pudding,"A corrosive, amorphous ooze that dissolves organic and inorganic matter alike, leaving behind only polished stone or bare earth. It is a mindless hunter, consuming everything in its path.",7,10d10+30,85,"20 ft., climb 20 ft.",16,5,16,1,6,1,4,1100,Large,ooze,unaligned,+5,,Pseudopod,5 ft.,1d6+3 bludgeoning plus 4d8 acid,,,,,,,,,
Blink Dog,,13,4d8+4,22,40,12,17,12,10,13,11,0.25,50,Medium,Fey,LG,3,,1d6+1,5,piercing,,,,,,,GemDMD Sheet,unknown,
Blood Hawk,,12,2d6,7,60,6,14,10,3,14,5,0.125,25,Small,Beast,unaligned,4,,1d4+2,5,piercing,,,,,,,GemDMD Sheet,unknown,
Blue Dragon Wyrmling,"A proud and vain young blue dragon, already demonstrating its control over lightning and its preference for desert environments, where it hoards treasures in deep caverns.",17,7d8+14,46,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,3,700,Medium,dragon,lawful evil,+5,,Bite,5 ft.,1d10+3 piercing,,,,,,,,,Draconic
Blue Slaad,"A brute among slaadi, known for its destructive tendencies and explosive spores, native to the ever-shifting chaos of Limbo. It delights in physical combat and spreading its chaotic influence.",15,11d8+33,82,30 ft.,18,15,16,7,7,10,4,1100,Large,fiend,chaotic neutral,+6,,Claw,5 ft.,2d6+4 slashing,Bite,5 ft.,2d8+4 piercing,,,,,,Slaad
Boar,,11,2d8+2,11,40,13,11,12,2,9,5,0.25,50,Medium,Beast,unaligned,3,,1d6+1,5,slashing,,,,,,,GemDMD Sheet,unknown,
Bone Devil,"A skeletal fiend from the Nine Hells, serving as a cruel enforcer and torturer, often found guarding important locations or hunting down souls for its infernal masters.",16,14d10+42,119,"40 ft., fly 40 ft.",18,15,16,13,14,16,9,5000,Large,fiend,lawful evil,+8,,Claw,10 ft.,2d8+4 slashing,Bite,5 ft.,2d6+4 piercing,Tail,10 ft.,2d10+4 piercing,,,Infernal
Bone Naga,"The skeletal remains of a powerful naga, animated by dark magic and driven by malice. It retains some of its former magical prowess and cunning, despite its undead nature.",15,10d10+30,85,30 ft.,15,16,16,15,12,16,4,1100,Large,undead,lawful evil,+5,,Bite,10 ft.,2d6+2 piercing plus 3d6 poison,,,,,,,,,"Abyssal, Common, Draconic"
Brass Dragon Wyrmling,"A curious and talkative young brass dragon, dwelling in sandy deserts where it loves to burrow and converse with travelers, often sharing ancient tales in exchange for news or treasures.",16,6d8+12,39,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,12,11,13,1,200,Medium,dragon,chaotic good,+4,,Bite,5 ft.,1d8+2 piercing,,,,,,,,,Draconic
Bronze Dragon Wyrmling,"Young metallic dragons are often curious and good-natured, and bronze dragons are particularly social, enjoying the company of humanoids. They dwell on coastlines and islands, hunting aquatic creatures and defending the innocent.",17,4d8+8,26,"30 ft., fly 60 ft., swim 30 ft.",18,10,15,12,11,15,2,450,Medium,Dragon,lawful good,+6,,Bite,5 ft.,1d8+4 piercing,,,,,,,,,Draconic
Brown Bear,,11,4d10+12,34,40,19,10,16,2,13,4,1,200,Large,Beast,unaligned,6,,1d8+4,5,piercing,2d6+4,5,slashing,,,,GemDMD Sheet,unknown,
Bugbear,"Bugbears are hairy, goblinoid creatures that lurk in the shadows, preferring to ambush their prey and use their stealth to gain advantage. They serve goblins and hobgoblins as enforcers and shock troops, though their loyalty is tenuous.",16,5d8+5,28,30 ft.,15,14,13,8,11,9,1,200,Medium,Humanoid,chaotic evil,+4,+4,Morningstar,5 ft.,2d8+2 piercing,Javelin,5 ft.,1d6+2 piercing,Javelin,30/120 ft.,1d6+2 piercing,,,"Common, Goblin"
Bugbear Chief,"A bugbear chief is a hulking, imposing goblinoid leader, stronger and more cunning than its kin, commanding its subordinates with a brutal grip. They are often found leading raiding parties or guarding important locations for their hobgoblin masters.",17,8d8+24,60,30 ft.,17,14,16,11,12,11,3,700,Medium,Humanoid,chaotic evil,+5,+4,Morningstar,5 ft.,2d8+3 piercing,Javelin,5 ft.,1d6+3 piercing,Javelin,30/120 ft.,1d6+3 piercing,,,"Common, Goblin"
Bulette,"These monstrous land sharks are voracious predators of the plains and hills, constantly hunting and devouring anything they encounter. Known for their powerful leaps and destructive burrowing, bulettes are a terror to livestock and travelers alike.",17,9d10+36,86,"40 ft., burrow 40 ft.",19,11,18,2,10,5,5,1800,Large,Monstrosity,unaligned,+7,,Bite,5 ft.,4d12+4 piercing,,,,,,,,,
Bullywug,"Bullywugs are frog-like humanoids that dwell in swamps and marshes, aspiring to be rulers of their slimy domains. They are boastful and cruel, seeing themselves as rightful masters of all creatures lesser than them, which is almost everything.",15,6d8,27,"20 ft., swim 40 ft.",12,12,13,7,10,7,0.25,50,Medium,Humanoid,chaotic evil,+3,+3,Spear,5 ft.,1d6+1 piercing,Shortsword,5 ft.,1d6+1 piercing,Spear,20/60 ft.,1d6+1 piercing,,,Bullywug
Cambion,"Cambions are the offspring of a fiend and a humanoid, inheriting a mix of both lineages. They are cruel and arrogant, possessing innate magical abilities and a thirst for power, often seeking to dominate and corrupt others.",19,10d8+30,75,"30 ft., fly 30 ft.",18,18,16,14,12,16,5,1800,Medium,Fiend,any evil,+7,+7,Spear,5 ft.,1d6+4 piercing,Spear,20/60 ft.,1d6+4 piercing,,,,,,"Abyssal, Infernal, Common"
Camel,"Camels are sturdy beasts of burden, well-adapted to arid environments, often used by travelers and merchants in deserts. They are known for their ability to carry heavy loads and survive long periods without water.",10,3d10+3,20,50 ft.,16,8,13,2,8,5,0.25,50,Large,Beast,unaligned,+5,,Bite,5 ft.,1d4+3 bludgeoning,,,,,,,,,
Carrion Crawler,"Carrion crawlers are disgusting, many-legged creatures that scavenge in dungeons and sewers, preying on dead and paralyzed victims. Their paralyzing tentacles make them dangerous foes despite their preference for carrion.",13,8d8+8,44,"30 ft., climb 30 ft.",14,13,12,1,12,5,2,450,Large,Monstrosity,unaligned,+4,,Tentacles,10 ft.,2d4+2 poison,Bite,5 ft.,1d6+2 piercing,,,,,,
Cat,"Cats are small, agile felines often kept as pets, known for their stealth and keen senses. Despite their domesticity, they retain a predatory nature, hunting small vermin with cunning and grace.",12,1d4-1,2,"40 ft., climb 30 ft.",3,15,10,3,12,7,0,10,Tiny,Beast,unaligned,+0,,Claws,5 ft.,1 slashing,,,,,,,,,
Cave Bear,"Cave bears are massive, aggressive omnivores that inhabit temperate forests and mountains, often found dwelling in caves. They are larger and more territorial than common bears, fiercely defending their territory and cubs.",12,7d10+21,60,"40 ft., climb 30 ft.",20,10,16,2,13,7,2,450,Large,Beast,unaligned,+7,,Bite,5 ft.,1d8+5 piercing,Claws,5 ft.,2d6+5 slashing,,,,,,
